edge-id,source,source-id,category,category-overarching,target-id,target
e1104,"Abraham Cowley, Poems (1656)",b0083,printed by,the labor of printing,p0269,Thomas Newcomb
e0369,"Abraham Cowley, Poems (1656)",b0083,written by,authorship,p0002,Abraham Cowley
e0365,"Abraham Cowley, The mistresse, or Seuerall copies of love-verses (1647)",b0081,with a letter to the reader by,preliminary content / preliminaries,p0002,Abraham Cowley
e0367,"Abraham Cowley, The mistresse, or Seuerall copies of love-verses (1647)",b0081,written by,authorship,p0002,Abraham Cowley
e1641,"Anonymous , Choice novels and amarous tales (1652)",b0010,printed by,the labor of printing,p8000,printer only identified by initials
e1801,"Anonymous , Choice novels and amarous tales (1652)",b0010,written by,authorship,p8132,unidentified writer (95)
e1530,"Anonymous , Divine meditations written by an honourable person (1641)",b0342,printed by,the labor of printing,p0524,Thomas Badger
e1551,"Anonymous , Divine meditations written by an honourable person (1641)",b0342,with an imprimatur by,the labor of printing,p0529,Thomas Wykes
e1591,"Anonymous , Divine meditations written by an honourable person (1641)",b0342,written by,authorship,p0557,Isaac Wake
e1376,"António, Prior of Crato , Royall psalmes (1659)",b0011,dedicated to,dedication,p0413,Anne Ingoldsby
e1212,"António, Prior of Crato , Royall psalmes (1659)",b0011,dedicated to,dedication,p0326,Françoise de Lorraine
e1434,"António, Prior of Crato , Royall psalmes (1659)",b0011,translated by,authorship,p0451,Baldwin St. George
e1443,"António, Prior of Crato , Royall psalmes (1659)",b0011,translated by,authorship,p0459,Pierre Du Ryer
e0374,"António, Prior of Crato , Royall psalmes (1659)",b0011,written by,authorship,p0006,"António, Prior of Crato"
e0372,"Antony Ascham, A discourse wherein is examined, what is particularly lawfull during the confusions and revolutions of government (1648)",b0017,with a letter to the reader by,preliminary content / preliminaries,p0005,Anthony Ascham
e0373,"Antony Ascham, A discourse wherein is examined, what is particularly lawfull during the confusions and revolutions of government (1648)",b0017,written by,authorship,p0005,Anthony Ascham
e1525,"Arthur Lake, Ten sermons upon several occasions (1640)",b0337,printed by,the labor of printing,p0524,Thomas Badger
e0362,"Arthur Lake, Ten sermons upon several occasions (1640)",b0337,with a letter to the reader by,preliminary content / preliminaries,p0001,Humphrey Moseley
e1542,"Arthur Lake, Ten sermons upon several occasions (1640)",b0337,with an imprimatur by,the labor of printing,p0526,Thomas Browne
e1488,"Arthur Lake, Ten sermons upon several occasions (1640)",b0337,written by,authorship,p0498,Arthur Lake
e1528,"Arthur Lake, Ten sermons vpon severall occasions preached at Saint Pauls Crosse (1641)",b0340,printed by,the labor of printing,p0524,Thomas Badger
e0363,"Arthur Lake, Ten sermons vpon severall occasions preached at Saint Pauls Crosse (1641)",b0340,with a letter to the reader by,preliminary content / preliminaries,p0001,Humphrey Moseley
e1543,"Arthur Lake, Ten sermons vpon severall occasions preached at Saint Pauls Crosse (1641)",b0340,with an imprimatur by,the labor of printing,p0526,Thomas Browne
e1489,"Arthur Lake, Ten sermons vpon severall occasions preached at Saint Pauls Crosse (1641)",b0340,written by,authorship,p0498,Arthur Lake
e1059,"Benjamin Hinton, Eighteene choice and usefull sermons (1650)",b0129,dedicated to,dedication,p0247,Francis Philips
